time_ms,cpu_used_percent,active_workers,queue_len,completed
15090,100,5,375,375
15100,100,5,375,376
15110,100,5,375,376
15120,100,5,375,377
15130,100,5,375,377
15140,100,5,376,377
15150,100,5,376,377
15160,100,5,377,377
15170,100,5,377,377
15180,100,5,378,377
15190,100,5,378,377
15200,100,5,379,377
15210,100,5,379,377
15220,100,5,380,377
15230,100,5,380,377
15240,100,5,380,378
15250,100,5,380,378
15260,100,5,380,379
15270,100,5,380,379
15280,100,5,380,380
15290,100,5,380,380
15300,100,5,380,381
15310,100,5,380,381
15320,100,5,380,382
15330,100,5,380,382
15340,100,5,381,382
15350,100,5,381,382
15360,100,5,382,382
15370,100,5,382,382
15380,100,5,383,382
15390,100,5,383,382
15400,100,5,384,382
15410,100,5,384,382
15420,100,5,385,382
15430,100,5,385,382
15440,100,5,385,383
15450,100,5,385,383
15460,100,5,385,384
15470,100,5,385,384
15480,100,5,385,385
15490,100,5,385,385
15500,100,5,385,386
15510,100,5,385,386
15520,100,5,385,387
15530,100,5,385,387
15540,100,5,386,387
15550,100,5,386,387
15560,100,5,387,387
15570,100,5,387,387
15580,100,5,388,387
15590,100,5,388,387
15600,100,5,389,387
15610,100,5,389,387
15620,100,5,390,387
15630,100,5,390,387
15640,100,5,390,388
15650,100,5,390,388
15660,100,5,390,389
15670,100,5,390,389
15680,100,5,390,390
15690,100,5,390,390
15700,100,5,390,391
15710,100,5,390,391
15720,100,5,390,392
15730,100,5,390,392
15740,100,5,391,392
15750,100,5,391,392
15760,100,5,392,392
15770,100,5,392,392
15780,100,5,393,392
15790,100,5,393,392
15800,100,5,394,392
15810,100,5,394,392
15820,100,5,395,392
15830,100,5,395,392
15840,100,5,395,393
15850,100,5,395,393
15860,100,5,395,394
15870,100,5,395,394
15880,100,5,395,395
15890,100,5,395,395
15900,100,5,395,396
15910,100,5,395,396
15920,100,5,395,397
15930,100,5,395,397
15940,100,5,396,397
15950,100,5,396,397
15960,100,5,397,397
15970,100,5,397,397
15980,100,5,398,397
15990,100,5,398,397
16000,100,5,399,397
16010,100,5,399,397
16020,100,5,400,397
16030,100,5,400,397
