time_ms,cpu_used_percent,active_workers,queue_len,completed
24180,95,7,368,625
24190,95,7,368,625
24200,95,7,368,625
24210,95,7,368,625
24220,95,7,368,625
24230,95,7,368,625
24240,75,5,363,632
24250,75,5,363,632
24260,75,5,363,632
24270,75,5,363,632
24280,75,5,363,632
24290,75,5,363,632
24300,75,5,363,632
24310,75,5,363,632
24320,75,5,363,632
24330,75,5,363,632
24340,75,5,363,632
24350,75,5,363,632
24360,75,5,363,632
24370,75,5,363,632
24380,75,5,363,632
24390,75,5,363,632
24400,75,5,363,632
24410,75,5,363,632
24420,75,5,363,632
24430,75,5,363,632
24440,75,5,358,637
24450,75,5,358,637
24460,75,5,358,637
24470,75,5,358,637
24480,75,5,358,637
24490,75,5,358,637
24500,75,5,358,637
24510,75,5,358,637
24520,75,5,358,637
24530,75,5,358,637
24540,75,5,358,637
24550,75,5,358,637
24560,75,5,358,637
24570,75,5,358,637
24580,75,5,358,637
24590,75,5,358,637
24600,75,5,358,637
24610,75,5,358,637
24620,75,5,358,637
24630,75,5,358,637
24640,100,5,353,642
24650,100,5,353,642
24660,100,5,353,642
24670,100,5,353,642
24680,100,5,353,642
24690,100,5,353,642
24700,100,5,353,642
24710,100,5,353,642
24720,100,5,353,642
24730,100,5,353,642
24740,100,5,353,642
24750,100,5,353,642
24760,100,5,353,642
24770,100,5,353,642
24780,100,5,353,642
24790,100,5,353,642
24800,100,5,353,642
24810,100,5,353,642
24820,100,5,353,642
24830,100,5,353,642
24840,90,4,349,647
24850,90,4,349,647
24860,90,4,349,647
24870,90,4,349,647
24880,90,4,349,647
24890,90,4,349,647
24900,90,4,349,647
24910,90,4,349,647
24920,90,4,349,647
24930,90,4,349,647
24940,90,4,349,647
24950,90,4,349,647
24960,90,4,349,647
24970,90,4,349,647
24980,90,4,349,647
24990,90,4,349,647
25000,90,4,349,647
25010,90,4,349,647
25020,90,4,349,647
25030,90,4,349,647
25040,70,2,347,651
25050,70,2,347,651
25060,70,2,347,651
25070,70,2,347,651
25080,70,2,347,651
25090,70,2,347,651
25100,70,2,347,651
25110,70,2,347,651
25120,70,2,347,651
25130,70,2,347,651
25140,70,2,347,651
25150,70,2,347,651
25160,70,2,347,651
25170,70,2,347,651
25180,70,2,347,651
25190,70,2,347,651
25200,70,2,347,651
25210,70,2,347,651
25220,70,2,347,651
25230,70,2,347,651
25240,95,7,340,653
25250,95,7,340,653
25260,95,7,340,653
25270,95,7,340,653
25280,95,7,340,653
25290,95,7,340,653
25300,95,7,340,653
25310,95,7,340,653
25320,95,7,340,653
25330,95,7,340,653
25340,95,7,340,653
25350,95,7,340,653
25360,95,7,340,653
25370,95,7,340,653
25380,95,7,340,653
25390,95,7,340,653
25400,95,7,340,653
25410,95,7,340,653
25420,95,7,340,653
25430,95,7,340,653
25440,95,7,333,660
25450,95,7,333,660
25460,95,7,333,660
25470,95,7,333,660
25480,95,7,333,660
25490,95,7,333,660
25500,95,7,333,660
25510,95,7,333,660
25520,95,7,333,660
25530,95,7,333,660
25540,95,7,333,660
25550,95,7,333,660
25560,95,7,333,660
25570,95,7,333,660
25580,95,7,333,660
25590,95,7,333,660
25600,95,7,333,660
25610,95,7,333,660
25620,95,7,333,660
25630,95,7,333,660
25640,100,5,328,667
25650,100,5,328,667
25660,100,5,328,667
25670,100,5,328,667
25680,100,5,328,667
25690,100,5,328,667
25700,100,5,328,667
25710,100,5,328,667
25720,100,5,328,667
25730,100,5,328,667
25740,100,5,328,667
25750,100,5,328,667
25760,100,5,328,667
25770,100,5,328,667
25780,100,5,328,667
25790,100,5,328,667
25800,100,5,328,667
25810,100,5,328,667
25820,100,5,328,667
25830,100,5,328,667
25840,100,5,323,672
25850,100,5,323,672
25860,100,5,323,672
25870,100,5,323,672
25880,100,5,323,672
25890,100,5,323,672
25900,100,5,323,672
25910,100,5,323,672
25920,100,5,323,672
25930,100,5,323,672
25940,100,5,323,672
25950,100,5,323,672
25960,100,5,323,672
25970,100,5,323,672
25980,100,5,323,672
25990,100,5,323,672
26000,100,5,323,672
26010,100,5,323,672
26020,100,5,323,672
26030,100,5,323,672
26040,70,7,316,677
26050,70,7,316,677
26060,70,7,316,677
26070,70,7,316,677
26080,70,7,316,677
26090,70,7,316,677
26100,70,7,316,677
26110,70,7,316,677
26120,70,7,316,677
26130,70,7,316,677
26140,70,7,316,677
26150,70,7,316,677
26160,70,7,316,677
26170,70,7,316,677
26180,70,7,316,677
26190,70,7,316,677
26200,70,7,316,677
26210,70,7,316,677
26220,70,7,316,677
26230,70,7,316,677
26240,90,4,312,684
26250,90,4,312,684
26260,90,4,312,684
26270,90,4,312,684
26280,90,4,312,684
26290,90,4,312,684
26300,90,4,312,684
26310,90,4,312,684
26320,90,4,312,684
26330,90,4,312,684
26340,90,4,312,684
26350,90,4,312,684
26360,90,4,312,684
26370,90,4,312,684
26380,90,4,312,684
26390,90,4,312,684
26400,90,4,312,684
26410,90,4,312,684
26420,90,4,312,684
26430,90,4,312,684
26440,100,5,307,688
26450,100,5,307,688
26460,100,5,307,688
26470,100,5,307,688
26480,100,5,307,688
26490,100,5,307,688
26500,100,5,307,688
26510,100,5,307,688
26520,100,5,307,688
26530,100,5,307,688
26540,100,5,307,688
26550,100,5,307,688
26560,100,5,307,688
26570,100,5,307,688
26580,100,5,307,688
26590,100,5,307,688
26600,100,5,307,688
26610,100,5,307,688
26620,100,5,307,688
26630,100,5,307,688
26640,90,4,303,693
26650,90,4,303,693
26660,90,4,303,693
26670,90,4,303,693
26680,90,4,303,693
26690,90,4,303,693
26700,90,4,303,693
26710,90,4,303,693
26720,90,4,303,693
26730,90,4,303,693
26740,90,4,303,693
26750,90,4,303,693
26760,90,4,303,693
26770,90,4,303,693
26780,90,4,303,693
26790,90,4,303,693
26800,90,4,303,693
26810,90,4,303,693
26820,90,4,303,693
26830,90,4,303,693
26840,85,6,297,697
26850,85,6,297,697
26860,85,6,297,697
26870,85,6,297,697
26880,85,6,297,697
26890,85,6,297,697
26900,85,6,297,697
26910,85,6,297,697
26920,85,6,297,697
26930,85,6,297,697
26940,85,6,297,697
26950,85,6,297,697
26960,85,6,297,697
26970,85,6,297,697
26980,85,6,297,697
26990,85,6,297,697
27000,85,6,297,697
27010,85,6,297,697
27020,85,6,297,697
27030,85,6,297,697
27040,80,3,294,703
27050,80,3,294,703
27060,80,3,294,703
27070,80,3,294,703
27080,80,3,294,703
27090,80,3,294,703
27100,80,3,294,703
27110,80,3,294,703
27120,80,3,294,703
27130,80,3,294,703
27140,80,3,294,703
27150,80,3,294,703
27160,80,3,294,703
27170,80,3,294,703
27180,80,3,294,703
27190,80,3,294,703
27200,80,3,294,703
27210,80,3,294,703
27220,80,3,294,703
27230,80,3,294,703
27240,100,5,289,706
27250,100,5,289,706
27260,100,5,289,706
